DATE AND TIME; TEMP C; %RH                                                                                                  
25-03-2014 09:00;23.4;31
25-03-2014 10:00;18.6;36.2
25-03-2014 11:00;15.1;39.7
25-03-2014 12:00;14.2;42
25-03-2014 13:00;14;44.7
25-03-2014 14:00;17.1;52.1
25-03-2014 15:00;16.8;51.7
25-03-2014 16:00;17.4;50.7
25-03-2014 17:00;16.8;52.1
25-03-2014 18:00;17.4;50.7
25-03-2014 19:00;17.4;51.7
25-03-2014 20:00;17.1;51.7
25-03-2014 21:00;17.1;50.7
25-03-2014 22:00;17.4;50.2
25-03-2014 23:00;17.7;50.7
26-03-2014 00:00;17.4;50.7
26-03-2014 01:00;17.4;51.2
26-03-2014 02:00;17.4;51.2
26-03-2014 03:00;17.1;51.2
26-03-2014 04:00;17.1;50.7
26-03-2014 05:00;17.4;50.7
26-03-2014 06:00;17.1;50.7
26-03-2014 07:00;17.1;50.2
26-03-2014 08:00;17.1;50.2
26-03-2014 09:00;17.1;50.7
26-03-2014 10:00;17.1;50.2
26-03-2014 11:00;17.1;49.8
26-03-2014 12:00;17.1;50.2
26-03-2014 13:00;17.4;51.2
26-03-2014 14:00;17.1;50.2
26-03-2014 15:00;17.1;51.2
26-03-2014 16:00;16.8;50.7
26-03-2014 17:00;17.1;51.2
26-03-2014 18:00;17.7;50.2
26-03-2014 19:00;16.8;52.6
26-03-2014 20:00;18;55.5
26-03-2014 21:00;18.9;61.3
26-03-2014 22:00;18;57.4
26-03-2014 23:00;17.4;55.5
27-03-2014 00:00;17.4;54.5
27-03-2014 01:00;17.4;53.6
27-03-2014 02:00;17.4;53.1
27-03-2014 03:00;17.4;52.6
27-03-2014 04:00;17.1;52.6
27-03-2014 05:00;17.1;52.6
27-03-2014 06:00;17.1;52.6
27-03-2014 07:00;17.1;52.6
27-03-2014 08:00;17.1;51.7
27-03-2014 09:00;17.1;52.6
27-03-2014 10:00;17.1;52.6
27-03-2014 11:00;17.1;52.6
27-03-2014 12:00;17.1;52.6
27-03-2014 13:00;17.7;52.6
27-03-2014 14:00;17.7;52.6
27-03-2014 15:00;17.7;52.6
27-03-2014 16:00;17.1;52.6
27-03-2014 17:00;17.1;53.1
27-03-2014 18:00;17.4;52.6
27-03-2014 19:00;17.7;52.6
27-03-2014 20:00;17.7;52.6
27-03-2014 21:00;17.4;52.6
27-03-2014 22:00;17.7;53.1
27-03-2014 23:00;17.1;53.6
28-03-2014 00:00;17.1;52.6
28-03-2014 01:00;17.4;52.6
28-03-2014 02:00;17.7;52.6
28-03-2014 03:00;17.4;52.6
